cell	umap1	umap2
cell_329	0.30024195	5.3507032
cell_33	3.1652322	4.5587425
cell_330	-1.6292131	7.8706894
cell_331	0.47480258	4.8594947
cell_332	14.022656	12.042801
cell_333	13.891738	11.560216
cell_334	-0.93641895	8.741794
cell_335	14.39004	9.19883
cell_336	14.692942	10.111226
cell_337	-0.26173183	6.6280046
cell_338	-0.19597618	8.056634
cell_339	1.2259678	4.5359097
cell_34	3.4384518	4.2251453
cell_340	-0.10023914	4.1502423
cell_341	14.344887	11.333623
cell_342	-1.7426906	8.10283
cell_343	0.031085324	5.0546665
cell_344	-1.5624485	8.452303
cell_345	13.480286	11.596638
cell_346	13.862307	12.005871
cell_347	-3.2239988	7.6978927
cell_348	13.672709	8.415464
cell_349	13.647869	8.434488
cell_35	12.98175	11.537892
cell_350	-1.0912184	6.902025
cell_351	14.575071	7.9715867
cell_352	3.8650014	4.140106
cell_353	-1.4534104	7.3331437
cell_354	-0.048417155	7.367229
cell_355	0.3865229	3.5325518
cell_356	15.053421	11.110889
cell_357	14.81487	11.656054
cell_358	-0.5307526	7.769346
cell_359	-0.3008918	6.7422485
cell_36	-2.518896	7.587863
cell_360	0.0018553718	4.2810307
cell_361	14.406923	9.719133
cell_362	0.064947486	4.559929
cell_363	0.16539602	5.049066
cell_364	3.6605961	4.132019
cell_365	13.832632	10.361384
cell_366	13.207182	10.497282
cell_367	-0.1552122	7.91391
cell_368	13.665654	10.179773
cell_369	0.076678045	5.8644757
cell_37	-1.4331701	7.6719584
cell_370	14.939528	7.748322
cell_371	0.10445333	5.1426725
cell_372	-1.0119456	8.378265
cell_373	13.573699	8.479625
cell_374	13.794483	8.790537
cell_375	13.787941	10.408549
cell_376	0.15494263	3.7194822
cell_377	-2.8181865	7.5109835
cell_378	0.21752208	3.9484386
cell_379	14.633238	11.804452
cell_38	-0.017438207	4.9898086
cell_380	-1.1902915	7.46005
cell_381	14.410898	11.95661
cell_382	4.166781	3.9394865
cell_383	13.481308	11.964154
cell_384	-0.32426545	5.9682646
cell_385	-0.64942324	4.7677836
cell_386	-1.3061684	8.19494
cell_387	-1.6023402	7.469369
cell_388	13.62301	10.610353
cell_389	14.627604	8.382403
cell_39	14.648827	11.255017
cell_390	14.416435	11.96081
cell_391	14.226583	9.826796
cell_392	-0.999332	8.060325
cell_393	0.21554865	5.6269226
cell_394	13.513672	9.881599
cell_395	-1.960951	8.416594
cell_396	0.0810598	4.1973205
cell_397	13.011603	11.11039
cell_398	-2.0725687	7.5439672
cell_399	14.351985	10.267358
cell_4	-0.17362384	6.6070304
cell_40	-2.5311437	8.373168
cell_400	12.778249	10.764097
cell_401	3.9203517	4.089871
cell_402	0.25963947	3.5827837
cell_403	14.981356	7.7763095
cell_404	0.08243657	3.9614983
cell_405	12.662914	11.877027
cell_406	-0.9628672	8.837838
cell_407	-0.16445048	4.625381
cell_408	13.437238	12.021964
cell_409	-0.5864355	5.4614143
cell_41	15.267884	7.7305408
cell_410	13.524257	10.941413
cell_411	0.51594955	4.3422217
cell_412	-0.3797353	6.489975
cell_413	-0.6496309	7.9975495
cell_414	0.379791	4.7251015
cell_415	13.311701	11.261583
cell_416	13.019631	11.812445
cell_417	15.003431	7.6965036
cell_418	-2.4604712	8.359013
cell_419	-2.8740196	7.9435487
cell_42	1.170772	4.556228
cell_420	-0.2577773	6.850941
cell_421	-0.78280926	7.1830626
cell_422	-2.090236	8.407293
cell_423	13.422756	11.224537
cell_424	0.3716203	3.8006566
cell_425	14.484939	11.760734
cell_426	12.755704	10.582686
cell_427	-1.9130893	8.357929
cell_428	14.915885	7.7982616
cell_429	-0.3753139	6.806237
cell_43	-1.7944489	8.930255
cell_430	13.294412	9.911712
cell_431	14.335852	10.901106
cell_432	-0.92967165	8.960167
cell_433	0.2788679	3.7386284
cell_434	13.54779	12.170717
cell_435	15.054482	7.7947717
cell_436	-2.6770773	7.834776
cell_437	-2.5938623	7.840202
cell_438	-1.104251	8.224584
cell_439	-1.2476127	7.9678974
cell_44	15.103329	8.544403
cell_440	-2.2966144	8.6580105
cell_441	-2.6628048	7.743119
cell_442	14.838543	7.9286666
cell_443	-1.5001383	6.6959314
cell_444	15.137798	7.9565606
cell_445	14.808626	7.648725
cell_446	-0.58239424	5.1374927
cell_447	-2.6317742	7.3927827
cell_448	-2.6201673	7.348401
cell_449	-1.9808477	7.9269357
cell_45	-1.9717145	8.750906
cell_450	-1.8484821	9.008702
cell_451	13.872319	10.58631
